grafana  | ✔ Downloaded and extracted grafana-opensearch-datasource v2.24.0 zip successfully to /var/lib/grafana/plugins/grafana-opensearch-datasource
grafana  | logger=migrator t=2025-04-11T12:35:49.411975253Z level=info msg="Migration successfully executed" id="Update org_user table charset" duration=11.959µs
grafana  | logger=migrator t=2025-04-11T12:35:49.413872378Z level=info msg="Executing migration" id="Migrate all Read Only Viewers to Viewers"
grafana  | logger=migrator t=2025-04-11T12:35:49.414027045Z level=info msg="Migration successfully executed" id="Migrate all Read Only Viewers to Viewers" duration=154.708µs
grafana  | logger=migrator t=2025-04-11T12:35:49.41766692Z level=info msg="Executing migration" id="create dashboard table"
grafana  | logger=migrator t=2025-04-11T12:35:49.418115962Z level=info msg="Migration successfully executed" id="create dashboard table" duration=449.167µs
grafana  | logger=migrator t=2025-04-11T12:35:49.419222003Z level=info msg="Executing migration" id="add index dashboard.account_id"
grafana  | logger=migrator t=2025-04-11T12:35:49.419586295Z level=info msg="Migration successfully executed" id="add index dashboard.account_id" duration=364.417µs
grafana  | logger=migrator t=2025-04-11T12:35:49.421237628Z level=info msg="Executing migration" id="add unique index dashboard_account_id_slug"
grafana  | logger=migrator t=2025-04-11T12:35:49.421551003Z level=info msg="Migration successfully executed" id="add unique index dashboard_account_id_slug" duration=313.208µs
grafana  | logger=migrator t=2025-04-11T12:35:49.422510837Z level=info msg="Executing migration" id="create dashboard_tag table"
grafana  | logger=migrator t=2025-04-11T12:35:49.422771503Z level=info msg="Migration successfully executed" id="create dashboard_tag table" duration=260.834µs
grafana  | logger=migrator t=2025-04-11T12:35:49.423925462Z level=info msg="Executing migration" id="add unique index dashboard_tag.dasboard_id_term"
grafana  | logger=migrator t=2025-04-11T12:35:49.424230045Z level=info msg="Migration successfully executed" id="add unique index dashboard_tag.dasboard_id_term" duration=304.75µs
grafana  | logger=migrator t=2025-04-11T12:35:49.425235712Z level=info msg="Executing migration" id="drop index UQE_dashboard_tag_dashboard_id_term - v1"
grafana  | logger=migrator t=2025-04-11T12:35:49.425559087Z level=info msg="Migration successfully executed" id="drop index UQE_dashboard_tag_dashboard_id_term - v1" duration=323.25µs
grafana  | logger=migrator t=2025-04-11T12:35:49.427610295Z level=info msg="Executing migration" id="Rename table dashboard to dashboard_v1 - v1"
grafana  | logger=migrator t=2025-04-11T12:35:49.429780337Z level=info msg="Migration successfully executed" id="Rename table dashboard to dashboard_v1 - v1" duration=2.167ms
grafana  | logger=migrator t=2025-04-11T12:35:49.430845212Z level=info msg="Executing migration" id="create dashboard v2"
grafana  | logger=migrator t=2025-04-11T12:35:49.431168003Z level=info msg="Migration successfully executed" id="create dashboard v2" duration=322.584µs
grafana  | logger=migrator t=2025-04-11T12:35:49.432361128Z level=info msg="Executing migration" id="create index IDX_dashboard_org_id - v2"
grafana  | logger=migrator t=2025-04-11T12:35:49.432652545Z level=info msg="Migration successfully executed" id="create index IDX_dashboard_org_id - v2" duration=291.542µs
grafana  | logger=migrator t=2025-04-11T12:35:49.433974003Z level=info msg="Executing migration" id="create index UQE_dashboard_org_id_slug - v2"
grafana  | logger=migrator t=2025-04-11T12:35:49.43425367Z level=info msg="Migration successfully executed" id="create index UQE_dashboard_org_id_slug - v2" duration=279.5µs
grafana  | logger=migrator t=2025-04-11T12:35:49.435519503Z level=info msg="Executing migration" id="copy dashboard v1 to v2"
grafana  | logger=migrator t=2025-04-11T12:35:49.435628462Z level=info msg="Migration successfully executed" id="copy dashboard v1 to v2" duration=109.084µs
grafana  | logger=migrator t=2025-04-11T12:35:49.437995295Z level=info msg="Executing migration" id="drop table dashboard_v1"
grafana  | logger=migrator t=2025-04-11T12:35:49.438343295Z level=info msg="Migration successfully executed" id="drop table dashboard_v1" duration=348.167µs
grafana  | logger=migrator t=2025-04-11T12:35:49.440685962Z level=info msg="Executing migration" id="alter dashboard.data to mediumtext v1"
grafana  | logger=migrator t=2025-04-11T12:35:49.440721295Z level=info msg="Migration successfully executed" id="alter dashboard.data to mediumtext v1" duration=39.292µs
grafana  | logger=migrator t=2025-04-11T12:35:49.441656962Z level=info msg="Executing migration" id="Add column updated_by in dashboard - v2"
grafana  | logger=migrator t=2025-04-11T12:35:49.442418045Z level=info msg="Migration successfully executed" id="Add column updated_by in dashboard - v2" duration=761.042µs
grafana  | logger=migrator t=2025-04-11T12:35:49.443511628Z level=info msg="Executing migration" id="Add column created_by in dashboard - v2"
grafana  | logger=migrator t=2025-04-11T12:35:49.444216712Z level=info msg="Migration successfully executed" id="Add column created_by in dashboard - v2" duration=703.042µs
grafana  | logger=migrator t=2025-04-11T12:35:49.44622892Z level=info msg="Executing migration" id="Add column gnetId in dashboard"
grafana  | logger=migrator t=2025-04-11T12:35:49.44685692Z level=info msg="Migration successfully executed" id="Add column gnetId in dashboard" duration=629.833µs
grafana  | logger=migrator t=2025-04-11T12:35:49.447698753Z level=info msg="Executing migration" id="Add index for gnetId in dashboard"
grafana  | logger=migrator t=2025-04-11T12:35:49.44794817Z level=info msg="Migration successfully executed" id="Add index for gnetId in dashboard" duration=247.459µs
grafana  | logger=migrator t=2025-04-11T12:35:49.448886003Z level=info msg="Executing migration" id="Add column plugin_id in dashboard"
grafana  | logger=migrator t=2025-04-11T12:35:49.44954142Z level=info msg="Migration successfully executed" id="Add column plugin_id in dashboard" duration=655.667µs
grafana  | logger=migrator t=2025-04-11T12:35:49.450430503Z level=info msg="Executing migration" id="Add index for plugin_id in dashboard"
grafana  | logger=migrator t=2025-04-11T12:35:49.450670128Z level=info msg="Migration successfully executed" id="Add index for plugin_id in dashboard" duration=239.791µs
grafana  | logger=migrator t=2025-04-11T12:35:49.452765462Z level=info msg="Executing migration" id="Add index for dashboard_id in dashboard_tag"
grafana  | logger=migrator t=2025-04-11T12:35:49.453025045Z level=info msg="Migration successfully executed" id="Add index for dashboard_id in dashboard_tag" duration=262.916µs
grafana  | logger=migrator t=2025-04-11T12:35:49.454009962Z level=info msg="Executing migration" id="Update dashboard table charset"
grafana  | logger=migrator t=2025-04-11T12:35:49.454021253Z level=info msg="Migration successfully executed" id="Update dashboard table charset" duration=11.5µs
grafana  | logger=migrator t=2025-04-11T12:35:49.45543567Z level=info msg="Executing migration" id="Update dashboard_tag table charset"
grafana  | logger=migrator t=2025-04-11T12:35:49.45544967Z level=info msg="Migration successfully executed" id="Update dashboard_tag table charset" duration=14.5µs
grafana  | logger=migrator t=2025-04-11T12:35:49.456481045Z level=info msg="Executing migration" id="Add column folder_id in dashboard"
grafana  | logger=migrator t=2025-04-11T12:35:49.457339962Z level=info msg="Migration successfully executed" id="Add column folder_id in dashboard" duration=859.125µs
grafana  | logger=migrator t=2025-04-11T12:35:49.458874003Z level=info msg="Executing migration" id="Add column isFolder in dashboard"
grafana  | logger=migrator t=2025-04-11T12:35:49.459702045Z level=info msg="Migration successfully executed" id="Add column isFolder in dashboard" duration=828.042µs
grafana  | logger=migrator t=2025-04-11T12:35:49.461108587Z level=info msg="Executing migration" id="Add column has_acl in dashboard"
grafana  | logger=migrator t=2025-04-11T12:35:49.461905962Z level=info msg="Migration successfully executed" id="Add column has_acl in dashboard" duration=797.541µs
grafana  | logger=migrator t=2025-04-11T12:35:49.464576753Z level=info msg="Executing migration" id="Add column uid in dashboard"
grafana  | logger=migrator t=2025-04-11T12:35:49.465473962Z level=info msg="Migration successfully executed" id="Add column uid in dashboard" duration=897.167µs
grafana  | logger=migrator t=2025-04-11T12:35:49.466715003Z level=info msg="Executing migration" id="Update uid column values in dashboard"
